DNA_TUBE_LABELS	SPECIMEN CODE	DNA all used up (tube tossed)	AHeditName	Used in Oaks of Americas study	COLLECTOR NUMBER	SPECIES	Collector Notes/Provin.	EXTRACTION DATE	Qubit tube A	Tube A current status	Qubit Tube B	Tube B current status	Nano lite: TUBE A 	tube A FM nano	Nano TUBE B 	Tissue Mass	A260/A280 tube A	A260/A280 tube B	Elution Volume (µl) tube3 a	Elution Volume B tubes	total ~µg in tube A	total ~µg in tube B	Total µg btwn A+ B	New Conc.	LOCATION_OF_DNA	Collector_Notes	Project	SPECIES.no.authors	Section	DNA extraction sheet
OAK-MOR-000044					CA-MH071	Quercus wislizeni A. DC.   (??)		6/27/2012					18.4		12.2	29	1.26	1.22	75	75	0	0	0	0	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus wislizeni	Lobatae	
OAK-MOR-000045				X	CA-DAV-MH064	Quercus durata Jeps.	"collected directly from wild; origin known
California Native."	6/27/2012	6.16				13.6		7.1	32	1.39	1.21	75	75	0.4312	0	0.4312	3.08	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus durata	Quercus	
OAK-MOR-000046				X	"ARAM s.n. ""B"""	Quercus lobata Née	CA, USA. 1 mile west of Lake County line in Mendocino City, on route 20, south side of road by driveway.	6/27/2012	29.4		12.2		52.2	38.1	20.3	33	1.58	1.54	75	75	2.058	0.854	2.912	20.8	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus lobata	Quercus	
OAK-MOR-000047					CA-DAV-MH067	Quercus chrysolepis Liebm.		6/27/2012					25.5		10.3	28	1.48	1.35	75	75	0	0	0	0	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus chrysolepis	Protobalanus	
OAK-MOR-000048					CA-DAV-MH026	Quercus crassipes Bonpl.	Mexico: Puebla: Collected 2 miles southest of El Seco junction road to Orizaba. 30 Nov 1966. McIntyre and Gankin 222.	6/27/2012					39.3	26.2	14.6	29	1.46	1.35	75	75	0	0	0	0	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus crassipes	Lobatae	
OAK-MOR-000049				X	CA-DAV-MH036	Quercus grisea Liebm.	New Mexico: 27.3 Miles Sw. of Silver City. 6000 ft. D. Cavagnaro 142. 2 Oct 1963.	6/27/2012	18.7		6.2		45.1	29.2	15.6	29	1.53	1.42	75	75	1.309	0.434	1.743	12.45	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus grisea	Quercus	
OAK-MOR-000050				n	CA-DAV-MH027	Quercus  x acutidens Torr.		6/27/2012					16.5		10.8	30	1.4	1.27	75	75	0	0	0	0	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus x acutidens	Quercus	
OAK-MOR-000051				Y	CA-MH068	Quercus vacciniifolia Kellogg	CA; off US route 50 near pyramid creek trail head; prior to beginning of horsetail falls trail	6/27/2012	17		6.74		29.1		16.1	29	1.51	1.45	75	75	1.19	0.4718	1.6618	11.87	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus vacciniifolia	Protobalanus	
OAK-MOR-000052				Y	IL-SH-048	Quercus austrina Small	Kolomoki Mounds SP;  GA, Early Co., USA	6/28/2012	1.48				5.5		2.4	29	1.26	1.01	75	75	0.1036	0	0.1036	0.74	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus austrina	Quercus	
OAK-MOR-000053					IL-SH-047	Quercus michauxii Nutt.	Redcliffe Plantation; SC, USA	6/28/2012	2.77				15.3		4.5	29	1.24	1.12	75	75	0.1939	0	0.1939	1.385	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus michauxii	Quercus	
OAK-MOR-000054					IL-SH-046	Quercus margarettae (Ashe) Small		6/28/2012	4.75				12.7		3.9	28	1.26	1.13	75	75	0.3325	0	0.3325	2.375	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus margarettae	Quercus	
OAK-MOR-000055				X	IL-SH-045	Quercus dalechampii Ten.	Zemplen Mts.; Tokaj, Hungary	6/28/2012	8.18				27.8		10.7	30	1.35	1.27	75	75	0.5726	0	0.5726	4.09	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus dalechampii	Quercus	
OAK-MOR-000056				X	IL-SH-044	Quercus macranthera subsp. syspirensis (K.Koch) Menitsky		6/28/2012	1.26				19.6		8.7	29	1.23	1.2	75	75	0.0882	0	0.0882	0.63	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus macranthera	Mesobalanus	
OAK-MOR-000057					IL-SH-043	Quercus petraea subsp. iberica (Steven ex M. Bieb.) Krassiln.		6/28/2012	5.46				10.1		5.6	31	1.33	1.22	75	75	0.3822	0	0.3822	2.73	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus petraea	Quercus	
OAK-MOR-000058					IL-SH-037	Quercus turbinella Greene		6/28/2012	25.2				40.7	24.4	10.5	30	1.41	1.34	75	75	1.764	0	1.764	12.6	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus turbinella	Quercus	
OAK-MOR-000059					IL-SH-042	Quercus pubescens		6/28/2012					14.8		8	29	1.26	1.23	75	75	0	0	0	0	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus pubescens	Quercus	
OAK-MOR-000060				X	IL-SH-041	Quercus pubescens		6/28/2012	5.63				14.9		4.6	32	1.36	1.19	75	75	0.3941	0	0.3941	2.815	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus pubescens	Quercus	
OAK-MOR-000061					IL-SH-040	Quercus falcata Michx.		6/28/2012					22.4		6.8	31	1.39	1.29	75	75	0	0	0	0	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus falcata	Lobatae	
OAK-MOR-000062					IL-SH-039	Quercus ilicifolia Wangenh.		6/28/2012					7.9		3.9	30	0.89	1	75	75	0	0	0	0	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus ilicifolia	Lobatae	
OAK-MOR-000063					IL-SH-038	Quercus incana Bartram		6/28/2012					11.4		14.4	29	1.09	1.19	75	75	0	0	0	0	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus incana	Lobatae	
OAK-MOR-000064				Y	IL-MOR-MH104	Quercus oglethorpensis Duncan	collected south of the town of Ninety Six at Star Fort in Greenwood County South Carolina U.S.A.	6/29/2012	5.26				30.2	9.8	6.8	35	1.35	1.31	75	75	0.3682	0	0.3682	2.63	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus oglethorpensis	Quercus	
OAK-MOR-000065					IL-MOR-MH099	Quercus rubra L.		6/29/2012					4.3		1.7	36	1.11	0.94	75	75	0	0	0	0	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus rubra	Lobatae	
OAK-MOR-000066				X	IL-MOR-MH103	Quercus muehlenbergii Engelm.	collected by: Connor B. Shaw, Possibility Place Nursery, Inc.;  in campground north of the Kankakee River under spont. plants 1/2 mile west of the Kankakee Co. line in Will County Illinois U.S.A.	6/29/2012	20.9		10.5		45.3	27	15.7	35	1.49	1.55	75	75	1.463	0.735	2.198	15.7	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus muehlenbergii	Quercus	
OAK-MOR-000067					IL-MOR-MH102	Quercus bicolor Willd.		6/29/2012	3.43				10.6		4.2	37	1.27	1.22	75	75	0.2401	0	0.2401	1.715	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus bicolor	Quercus	
OAK-MOR-000068				ethanol precipitated with 384; concentration is not what is recorded here.  Tube 68A is here. HMW gel band from ETOH sample	IL-MOR-MH100	Quercus falcata Michx.	collected by: Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedi;  Village Creek State Park near visitor center parking lot in Cross County Arkansas U.S.A.. (35.162806, -90.7175, 307 ft)	6/29/2012	18.8		12.4		38.6	22.1	18.5	36	1.46	1.58	75	75	1.316	0.868	2.184	15.6	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus falcata	Lobatae	
OAK-MOR-000069				X	IL-MOR-MH094	Quercus bicolor Willd.	collected along the Des Plaines River near Willow Springs  in Cook County Illinois U.S.A.	6/29/2012	7.72				14.2		8.1	31	1.44	1.42	75	75	0.5404	0	0.5404	3.86	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus bicolor	Quercus	
OAK-MOR-000070					IL-MOR-MH105	Quercus gambelii Nutt.		6/29/2012	8.98				26.5		8.3	39	1.36	1.34	100	100	0.8531	0	0.8531	4.49	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus gambelii	Quercus	
OAK-MOR-000071					IL-MOR-MH098	Quercus petraea (Matt.) Liebl.		6/29/2012	8.02				13.7		3.9	37	1.35	1.2	100	100	0.7619	0	0.7619	4.01	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus petraea	Quercus	
OAK-MOR-000072				X	IL-MOR-MH097	Quercus petraea (Matt.) Liebl.		6/29/2012	12.7				36.3	21.4	8.7	36	1.47	1.39	100	100	1.2065	0	1.2065	6.35	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus petraea	Quercus	
OAK-MOR-000073				X	IL-MOR-MH096	Quercus lyrata Walter	collected by: Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedi;  near parking lot in Otter Slough State Conservation Area in Stoddard County Missouri U.S.A.(36.720972, -90.112917, 360 ft)	6/29/2012	5.58				18.3		12	37	1.4	1.33	100	100	0.5301	0	0.5301	2.79	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus lyrata	Quercus	
OAK-MOR-000074				X	IL-MOR-MH095	Quercus stellata Wangenh.	collected by: Peter J. van der Linden, The Morton Arboretum;  in the Donnellson Unit of Shimek State Forest  in Lee County Iowa U.S.A.	6/29/2012	17.8		8.21		44.4	27.1	15.9	35	1.48	1.51	100	100	1.691	0.77995	2.47095	13.005	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus stellata	Quercus	
OAK-MOR-000075					IL-MOR-MH101	Quercus stellata Wangenh.	collected by: Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedi;  along I-44 and RR at Rosati in Phelps County Missouri U.S.A. (38.034944, -91.520306, 1067 ft)	6/29/2012					18.2		5.8	35	1.31	1.28	100	100	0	0	0	0	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus stellata	Quercus	
OAK-MOR-000076				Y:TUBE A	IL-MOR-MH086	Quercus alba L.	collected by: Kunso Kim & Ed Hedborn, The Morton Arboretum;  along St. Joseph River along River Trail on Fernwood Botanical Garden northwest of Niles  in Berrien County Michigan U.S.A. (41.864917, -86.35075, 640 ft)	7/2/2012	16.7 (org.42.3)		13.2		81.4	65.1	22.9	39	1.62	1.55	100	100	#VALUE!	1.254	#VALUE!	16.7	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus alba	Quercus	
OAK-MOR-000077				X	IL-MOR-MH085	Quercus rubra L.	collected by: Edward A. Hedborn, The Morton Arboretum;  from above Sauk Lake in Sauk Trail Forest Preserve in Cook County Illinois U.S.A.	7/2/2012	8.27				22		5.7	37	1.24	1.22	100	100	0.78565	0	0.78565	4.135	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus rubra	Lobatae	
OAK-MOR-000078					IL-MOR-MH075	Quercus ilicifolia Wangenh.		7/2/2012					20.5		9.2	37	1.39	1.32	100	100	0	0	0	0	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus ilicifolia	Lobatae	
OAK-MOR-000079				X	IL-MOR-MH087	Quercus ellipsoidalis	collected by: Peter van der Linden & Ed Hedborn, The Morton Arboretum;  due southwest of Apple River Canyon State Park in Jo Daviess County Illinois U.S.A.	7/2/2012	24.3		13.5		41.6	30	18.3	38	1.51	1.64	100	100	2.3085	1.2825	3.591	18.9	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus ellipsoidalis	Lobatae	
OAK-MOR-000080				X	IL-MOR-MH088	Quercus imbricaria Michx.	collected by: Michael E. Lenart  in Clay County Illinois U.S.A.	7/2/2012	13.1				33.8	25.3	10.8	34	1.5	1.48	100	100	1.2445	0	1.2445	6.55	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus imbricaria	Lobatae	
OAK-MOR-000081					IL-MOR-MH083	Quercus shumardii Buckley	collected by: Rick Lewandowski and Kris Bachtell, The Morton Arboretum;  along the west side of Kentucky Route 27 just north of the town of Hall  in Jessamine County Kentucky U.S.A. (37.792889, -84.607056, 300 m)	7/2/2012					36.5	27.9	27.1	35	1.52	1.62	100	100	0	0	0	0	MOR freezer; Oak 2012 Box 1A and Box 1B		Phylogeny of the Oaks of the Americas (2012)	Quercus shumardii	Lobatae	
OAK-MOR-000082				X	IL-MOR-MH084	Quercus robur L.		7/2/2012	20.8		9.66		41.4	24.9	16.8	36	1.52	1.57	100	100	1.976	0.9177	2.8937	15.23	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus robur	Quercus	
OAK-MOR-000083					IL-MOR-MH080	Quercus montana Willd.	collected by: Midwest Plant Collecting Collaborative (MWPCC) 2000 southeast Un;  at picnic area across from entrance to county road 1772 leading to Potts Mountain, Jefferson National Forest  in Craig County Virginia U.S.A. (37.52575, -80.249722, 3040 ft)	7/2/2012					32.8	20.5	16.6	39	1.54	1.61	100	100	0	0	0	0	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus montana	Quercus	
OAK-MOR-000084				X	IL-MOR-MH076	Quercus velutina Lam.	collected by: Peter J. van der Linden, The Morton Arboretum;  along Merioneth Road  in Will County Illinois U.S.A.	7/2/2012	11.6				18.6	12.6	9.7	34	1.6	1.51	100	100	1.102	0	1.102	5.8	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus velutina	Lobatae	
OAK-MOR-000085					IL-MOR-MH077	Quercus lobata Nee	1	7/2/2012	27.9				56	36.6	41.5	39	1.47	1.11	100	100	2.6505	0	2.6505	13.95	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus lobata	Quercus	
OAK-MOR-000086					IL-MOR-MH079	Quercus michauxii Nutt.		7/2/2012					28	14.6	15.3	36	1.5	1.44	100	100	0	0	0	0	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus michauxii	Quercus	
OAK-MOR-000087				X	CA-DAV-MH037	Quercus engelmannii Greene	CA: San Diego Co.: Collected on a field trip November 13-17, 1967 2.0 miles from Hauser Creek Camp Ground along Hauser Creek Rd. R. Gankin s.n. 15 Nov 1967	7/3/2012	18.9		8.98		45.1	26.7	18.9	37	1.43	1.48	100	100	1.7955	0.8531	2.6486	13.94	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus engelmannii	Quercus	
OAK-MOR-000088				X	CA-DAV-MH041	Quercus pungens Liebm.	Pine Spring: Culberson County: Texas: 5700 ft. D. Cavagnaro 181. 10 Oct 1963.	7/3/2012	15.9		7.8		32	21.6	15.8	38	1.58	1.51	100	100	1.5105	0.741	2.2515	11.85	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus pungens	Quercus	
OAK-MOR-000089					CA-DAV-MH042	Quercus douglasii Hook. & Arn.	CA: Solano Co.: 2.5 mi. below summit, Mix Canyon. Gankin & J. Ben Jaacov s.n.	7/3/2012	9.97				22.9	11.9	9.8	34	1.42	1.35	100	100	0.94715	0	0.94715	4.985	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus douglasii	Quercus	
OAK-MOR-000090				X	CA-DAV-MH043	Quercus douglasii Hook. & Arn.	CA: Solano Co.: Winters: Plant was grown from seed collected along Central Lane, off of Pitt School Rd. John Lichter s.n.	7/3/2012	18.8		7.8		57.5	27.9	16.4	35	1.43	1.33	100	100	1.786	0.741	2.527	13.3	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus douglasii	Quercus	
OAK-MOR-000091					CA-DAV-MH034	Quercus candicans Née		7/3/2012					10.1	3.2	19.6	38	1.55	1.45	100	100	0	0	0	0	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus candicans	Lobatae	
OAK-MOR-000092				X	CA-DAV-MH039	Quercus vaseyana Buckley	"12.3 Miles South of Juno: Val Verde County: Texas: 1500 ft.
D. Cavagnaro 170. 7 Oct 1963."	7/3/2012	16.1		5.31		34.3	19.3	12.6	35	1.5	1.45	100	100	1.5295	0.50445	2.03395	10.705	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus vaseyana	Quercus	
OAK-MOR-000093				X	CA-DAV-MH040	Quercus oblongifolia Torr.	Arizona: Pima County: Santa Catalina Mts. 4500 ft. J. T. Marshall s.n. 15 Nov 1963.	7/3/2012	8.35				13	4.6	8.7	31	1.51	1.28	100	100	0.79325	0	0.79325	4.175	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus oblongifolia	Quercus	
OAK-MOR-000094					CA-DAV-MH038	Quercus vaseyana Buckley	"12.3 Miles South of Juno: Val Verde County: Texas: 1500 ft.
D. Cavagnaro 170. 7 Oct 1963."	7/3/2012	5.06				23	6.2	6.6	37	1.34	1.23	100	100	0.4807	0	0.4807	2.53	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus vaseyana	Quercus	
OAK-MOR-000095				X	CA-DAV-MH045	Quercus gravesii Sudw.	Inst. of Forest Genetics, Placerville, CA: TX: Big Bend National Park. Barton Warnock (Sulross College, Alpine, TX) s.n. Donated by Phil Barker who grew them.	7/3/2012	12.2				17.2	8.4	8.5	35	1.36	1.24	100	100	1.159	0	1.159	6.1	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus gravesii	Lobatae	
OAK-MOR-000096				X	CA-DAV-MH029	Quercus diversifolia Née	Mexico: State of Guanajuato: Guanajuato: Collected on Dolore Hidalgo Road. 5 Dec 1966. McIntyre and Gankin 253.	7/3/2012	17.8		5.34		35.9	21.6	18.5	36	1.54	1.37	100	100	1.691	0.5073	2.1983	11.57	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus diversifolia	Quercus	
OAK-MOR-000097				X	CA-DAV-MH044	Quercus douglasii Hook. & Arn.	CA: Yuba River: Perhaps collected 9-OCT-59	7/3/2012	23.6		11.6		82.5	52.7	25.1	39	1.41	1.47	100	100	2.242	1.102	3.344	17.6	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus douglasii	Quercus	
OAK-MOR-000098				X	CA-DAV-MH028	Quercus mexicana Bonpl.		7/3/2012	14.4				29.5	17.6	12.4	37	1.13	1.24	100	100	1.368	0	1.368	7.2	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus mexicana	Lobatae	
OAK-MOR-000099					CA-DAV-MH031	Quercus rugosa Née	Mexico: Oaxaca: Collected 20 miles from Oaxaca on the road to Boone Halberg's finca near Ixtlan. McIntyre and Gankin 178. 24 Nov 1966.	7/3/2012	41.8				39.8	26.9	12.9	35	1.61	1.47	100	100	3.971	0	3.971	20.9	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus rugosa	Quercus	
OAK-MOR-000100				X	CA-DAV-MH032	Quercus greggii (A.DC.) Trel.	Mexico: Nuevo Leon: 35.1 miles from La Escondida. McIntyre and Gankin 289. 8 Dec 1966.	7/3/2012	29.7		11.8		47.3	33.2	19.8	37	1.59	1.57	100	100	2.8215	1.121	3.9425	20.75	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus greggii	Quercus	
OAK-MOR-000101				X	CA-DAV-MH033	Quercus crassifolia Bonpl.	Guatemala: Collected at 80 km marker on RN-I between Petzcia and Lago Atitlan. 8 Nov 1966. McIntrye and Hildreth 133.	7/3/2012	18.8				24.2	16.5	6.3	36	1.56	1.36	100	100	1.786	0	1.786	9.4	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus crassifolia	Lobatae	
OAK-MOR-000102					IL-MOR-MH078	Quercus lyrata Walter	collected by: Ron Lance on bank of Lake Seminole near J. Woodruff dam in Decatur County Georgia U.S.A.	7/3/2012					33.6	24.6	7.7	36	1.56	1.44	100	100	0	0	0	0	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus lyrata	Quercus	
OAK-MOR-000103				 	IL-MOR-MH081	Quercus coccinea Munchh.	collected by: Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedi;  west edge of Hawn State Park   in St. Genevieve County Missouri U.S.A.. (37.827556, -90.258417, 939 ft)	7/3/2012	16.2				21.7	14	7.8	36	1.61	1.42	100	100	1.539	0	1.539	8.1	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus coccinea	Lobatae	
OAK-MOR-000104					IL-MOR-MH082	Quercus mongolica Fisch. ex Ledeb.		7/3/2012	14.9				34.1	23.4	9.3	38	1.45	1.62	100	100	1.4155	0	1.4155	7.45	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus mongolica	Quercus	
OAK-MOR-000105					CA-DAV-MH030	Quercus oleoides Schltdl. & Cham.		7/3/2012	49.4				61.9	47.8	27.1	40	1.6	1.63	100	100	4.693	0	4.693	24.7	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus oleoides	Quercus	
OAK-MOR-000106				X	CA-DAV-MH035	Quercus engelmannii Greene	CA: San Diego County: Cedar Canyon, Otay Mtn.: dry stream side. 500 ft. Wayne Roderick s.n	7/3/2012	26.2				35.7	27.3	8.5	38	1.59	1.39	100	100	2.489	0	2.489	13.1	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus engelmannii	Quercus	
OAK-MOR-000107					CA-DAV-MH057	Quercus rugosa Née		7/3/2012	50				47	37.2	18.1	36	1.66	1.62	100	100	4.75	0	4.75	25	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus rugosa	Quercus	
OAK-MOR-000108				X	CA-DAV-MH047	Quercus berberidifolia Liebm.	CA: Solano Co.: 0.8 mi. below summit, Mix Canyon. Gankin & J. Ben Jaacov. s.n.	7/3/2012	18.8		6.95		56	33.3	15.3	38	1.41	1.41	100	100	1.786	0.66025	2.44625	12.875	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus berberidifolia	Quercus	
OAK-MOR-000109					CA-DAV-MH046	Quercus wislizeni A. DC.	"Collected in Davis, CA by Don Sexton, Department of Botany,
U. C. Davis, Davis, California."	7/3/2012					28.3	19.5	8.5	35	1.51	1.37	100	100	0	0	0	0	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus wislizeni	Lobatae	
OAK-MOR-000110				X	CA-DAV-MH018	Quercus agrifolia Née		7/3/2012	23.3				52.7	34.3	26.7	36	1.51	1.54	100	100	2.2135	0	2.2135	11.65	MOR freezer; Oak 2012 Box 2A and Box 2B		Phylogeny of the Oaks of the Americas (2012)	Quercus agrifolia	Lobatae	
